farmer_id,name,district_id,vegetables_grown,phone,whatsapp,email,land_acres
1,Ramesh Reddy,11,Cabbage,9903074141,9927170641,farmer1@mail.com,7.76
2,Manoj Kumar,10,Cabbage,9223064742,9526524070,farmer2@mail.com,10.73
3,Vijay Reddy,4,Green Chilli,9689469405,9709059966,farmer3@mail.com,2.69
4,Ramesh Naidu,12,Bottle Gourd,9264576346,9178716997,farmer4@mail.com,8.85
5,Suresh Kumar,10,Potato,9717324939,9651669379,farmer5@mail.com,16.97
6,Vijay Kumar,8,Green Chilli,9702306781,9416710648,farmer6@mail.com,9.21
7,Mahesh Reddy,2,Cabbage,9903203759,9862216831,farmer7@mail.com,2.66
8,Kiran Rao,11,Okra,9668364036,9442240702,farmer8@mail.com,18.73
9,Arjun Naidu,3,Onion,9228841094,9285513092,farmer9@mail.com,17.55
10,Kiran Naidu,4,Okra,9918528772,9929745033,farmer10@mail.com,19.29
11,Kiran Rao,7,Cauliflower,9332149738,9832953058,farmer11@mail.com,15.6
12,Mahesh Naidu,3,Cauliflower,9334223841,9503198366,farmer12@mail.com,19.8
13,Ajay Naidu,4,Spinach,9837681522,9492973342,farmer13@mail.com,7.6
14,Manoj Kumar,1,Bottle Gourd,9810638635,9689510627,farmer14@mail.com,1.75
15,Mahesh Reddy,5,Okra,9970863348,9670597955,farmer15@mail.com,7.29
16,Naresh Kumar,7,Cauliflower,9236211252,9738766288,farmer16@mail.com,8.65
17,Vijay Naidu,9,Okra,9381427078,9661859088,farmer17@mail.com,4.33
18,Vijay Naidu,6,Potato,9462620930,9710751100,farmer18@mail.com,19.83
19,Ramesh Kumar,11,Spinach,9385370627,9473392479,farmer19@mail.com,16.98
20,Vijay Rao,2,Brinjal,9354895416,9523087699,farmer20@mail.com,3.11
21,Suresh Reddy,2,Tomato,9306426478,9977198265,farmer21@mail.com,10.29
22,Arjun Naidu,7,Cauliflower,9735363909,9845042780,farmer22@mail.com,17.53
23,Ravi Kumar,7,Spinach,9408358804,9608466783,farmer23@mail.com,6.43
24,Mahesh Reddy,5,Potato,9742719390,9198852107,farmer24@mail.com,11.04
25,Suresh Naidu,5,Onion,9409559028,9558324107,farmer25@mail.com,12.9
26,Mahesh Kumar,6,Onion,9173456633,9721784242,farmer26@mail.com,18.42
27,Ajay Reddy,8,Spinach,9933737427,9151664175,farmer27@mail.com,14.95
28,Suresh Rao,8,Spinach,9179152391,9259057329,farmer28@mail.com,14.68
29,Kiran Rao,1,Cabbage,9962530446,9360729893,farmer29@mail.com,19.95
30,Ajay Reddy,7,Spinach,9219117790,9543655905,farmer30@mail.com,18.93
